"ProcessName","Path","Id"
"ApplicationFrameHost","C:\Windows\system32\ApplicationFrameHost.exe","10944"
"audiodg","C:\Windows\system32\AUDIODG.EXE","6040"
"bash","C:\Program Files\Git\usr\bin\bash.exe","4116"
"CalculatorApp","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2210.0.0_x64__8wekyb3d8bbwe\CalculatorApp.exe","2552"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","184"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","624"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","964"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","2660"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","4916"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","5492"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","6048"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","6872"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","6928"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","9440"
"Code","C:\Users\adam\AppData\Local\Programs\Microsoft VS Code\Code.exe","9576"
"conhost","C:\Windows\system32\conhost.exe","2468"
"conhost","C:\Windows\system32\conhost.exe","3892"
"conhost","C:\Windows\system32\conhost.exe","9360"
"csrss",,"420"
"csrss",,"508"
"ctfmon","C:\Windows\system32\ctfmon.exe","2268"
"dllhost","C:\Windows\system32\dllhost.exe","4360"
"dllhost","C:\Windows\system32\DllHost.exe","6248"
"dllhost","C:\Windows\system32\DllHost.exe","7808"
"dllhost","C:\Windows\system32\DllHost.exe","10592"
"dwm","C:\Windows\system32\dwm.exe","1012"
"explorer","C:\Windows\Explorer.EXE","4852"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","400"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","3132"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","5236"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","6652"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","8860"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","9200"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","9980"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","10644"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","11124"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","800"
"fontdrvhost","C:\Windows\system32\fontdrvhost.exe","804"
"git","C:\Program Files\Git\mingw64\libexec\git-core\git.exe","9636"
"git-bash","C:\Program Files\Git\git-bash.exe","604"
"Idle",,"0"
"lsass","C:\Windows\system32\lsass.exe","676"
"Memory Compression",,"1900"
"Microsoft.Photos","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2022.30120.12007.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","8148"
"mintty","C:\Program Files\Git\usr\bin\mintty.exe","6616"
"MoUsoCoreWorker","C:\Windows\System32\mousocoreworker.exe","6100"
"MpCopyAccelerator",,"2588"
"msdtc","C:\Windows\System32\msdtc.exe","4064"
"MsMpEng",,"4496"
"MusNotifyIcon","C:\Windows\system32\MusNotifyIcon.exe","6500"
"NisSrv",,"2716"
"notepad++","C:\Program Files\Notepad++\notepad++.exe","5968"
"OneDrive","C:\Users\adam\AppData\Local\Microsoft\OneDrive\OneDrive.exe","3816"
"powershell","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","5552"
"powershell_ise","C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","5672"
"Registry",,"92"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","64"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1156"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5804"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6416"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","7532"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","5800"
"SearchIndexer","C:\Windows\system32\SearchIndexer.exe","6512"
"SecurityHealthService",,"6404"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","4736"
"services",,"656"
"SgrmBroker",,"1168"
"sihost","C:\Windows\system32\sihost.exe","2720"
"smss",,"304"
